filename,class_id,real_label
val_0.JPEG,n03444034,go-kart
val_1.JPEG,n04067472,reel
val_2.JPEG,n04070727,refrigerator
val_3.JPEG,n02808440,bathtub
val_4.JPEG,n02808440,bathtub
val_5.JPEG,n04399382,teddy
val_6.JPEG,n04179913,sewing_machine
val_7.JPEG,n02823428,beer_bottle
val_8.JPEG,n04146614,school_bus
val_9.JPEG,n02226429,grasshopper
val_10.JPEG,n04371430,swimming_trunks
val_11.JPEG,n07753592,banana
val_12.JPEG,n02226429,grasshopper
val_13.JPEG,n03770439,miniskirt
val_14.JPEG,n02056570,king_penguin
val_15.JPEG,n02906734,broom
val_16.JPEG,n02125311,cougar
val_17.JPEG,n04486054,triumphal_arch
val_18.JPEG,n04285008,sports_car
val_19.JPEG,n03763968,military_uniform
val_20.JPEG,n03814639,neck_brace
val_21.JPEG,n03837869,obelisk
val_22.JPEG,n01983481,American_lobster
val_23.JPEG,n01629819,European_fire_salamander
val_24.JPEG,n04532670,viaduct
val_25.JPEG,n04074963,remote_control
val_26.JPEG,n04540053,volleyball
val_27.JPEG,n04371430,swimming_trunks
val_28.JPEG,n02906734,broom
val_29.JPEG,n02094433,Yorkshire_terrier
val_30.JPEG,n03796401,moving_van
val_31.JPEG,n07614500,ice_cream
val_32.JPEG,n03837869,obelisk
val_33.JPEG,n03937543,pill_bottle
val_34.JPEG,n06596364,comic_book
val_35.JPEG,n02977058,cash_machine
val_36.JPEG,n01768244,trilobite
val_37.JPEG,n03930313,picket_fence
val_38.JPEG,n04099969,rocking_chair
val_39.JPEG,n03891332,parking_meter
val_40.JPEG,n02125311,cougar
val_41.JPEG,n02125311,cougar
val_42.JPEG,n02279972,monarch
val_43.JPEG,n02231487,walking_stick
val_44.JPEG,n03584254,iPod
val_45.JPEG,n02231487,walking_stick
val_46.JPEG,n04376876,syringe
val_47.JPEG,n07720875,bell_pepper
val_48.JPEG,n02504458,African_elephant
val_49.JPEG,n02909870,bucket
val_50.JPEG,n01774750,tarantula
val_51.JPEG,n02129165,lion
val_52.JPEG,n02226429,grasshopper
val_53.JPEG,n01917289,brain_coral
val_54.JPEG,n02841315,binoculars
val_55.JPEG,n12267677,acorn
val_56.JPEG,n01784675,centipede
val_57.JPEG,n03250847,drumstick
val_58.JPEG,n02793495,barn
val_59.JPEG,n04398044,teapot
val_60.JPEG,n02808440,bathtub
val_61.JPEG,n07579787,plate
val_62.JPEG,n02094433,Yorkshire_terrier
val_63.JPEG,n03355925,flagpole
val_64.JPEG,n03388043,fountain
val_65.JPEG,n04562935,water_tower
val_66.JPEG,n03733131,maypole
val_67.JPEG,n03355925,flagpole
val_68.JPEG,n01443537,goldfish
val_69.JPEG,n03126707,crane
val_70.JPEG,n01770393,scorpion
val_71.JPEG,n03970156,plunger
val_72.JPEG,n12267677,acorn
val_73.JPEG,n03637318,lampshade
val_74.JPEG,n02165456,ladybug
val_75.JPEG,n01742172,boa_constrictor
val_76.JPEG,n02123045,tabby
val_77.JPEG,n01698640,American_alligator
val_78.JPEG,n07749582,lemon
val_79.JPEG,n01945685,slug
val_80.JPEG,n02437312,Arabian_camel
val_81.JPEG,n02074367,dugong
val_82.JPEG,n03026506,Christmas_stocking
val_83.JPEG,n03544143,hourglass
val_84.JPEG,n06596364,comic_book
val_85.JPEG,n04399382,teddy
val_86.JPEG,n02279972,monarch
val_87.JPEG,n02002724,black_stork
val_88.JPEG,n02056570,king_penguin
val_89.JPEG,n02132136,brown_bear
val_90.JPEG,n02948072,candle
val_91.JPEG,n02074367,dugong
val_92.JPEG,n07720875,bell_pepper
val_93.JPEG,n02769748,backpack
val_94.JPEG,n03930313,picket_fence
val_95.JPEG,n02481823,chimpanzee
val_96.JPEG,n02123045,tabby
val_97.JPEG,n02094433,Yorkshire_terrier
val_98.JPEG,n04487081,trolleybus
val_99.JPEG,n04146614,school_bus
val_100.JPEG,n03026506,Christmas_stocking
val_101.JPEG,n02236044,mantis
val_102.JPEG,n02206856,bee
val_103.JPEG,n03937543,pill_bottle
val_104.JPEG,n03584254,iPod
val_105.JPEG,n02165456,ladybug
val_106.JPEG,n09193705,alp
val_107.JPEG,n03733131,maypole
val_108.JPEG,n02124075,Egyptian_cat
val_109.JPEG,n04265275,space_heater
val_110.JPEG,n04596742,wok
val_111.JPEG,n02795169,barrel
val_112.JPEG,n03544143,hourglass
val_113.JPEG,n04560804,water_jug
val_114.JPEG,n04023962,punching_bag
val_115.JPEG,n02437312,Arabian_camel
val_116.JPEG,n02504458,African_elephant
val_117.JPEG,n03355925,flagpole
val_118.JPEG,n02190166,fly
val_119.JPEG,n03970156,plunger
val_120.JPEG,n03201208,dining_table
val_121.JPEG,n02909870,bucket
val_122.JPEG,n03838899,oboe
val_123.JPEG,n02410509,bison
val_124.JPEG,n02823428,beer_bottle
val_125.JPEG,n04560804,water_jug
val_126.JPEG,n09256479,coral_reef
val_127.JPEG,n04465501,tractor
val_128.JPEG,n04067472,reel
val_129.JPEG,n02892201,brass
val_130.JPEG,n01641577,bullfrog
val_131.JPEG,n07871810,meat_loaf
val_132.JPEG,n03770439,miniskirt
val_133.JPEG,n04486054,triumphal_arch
val_134.JPEG,n07734744,mushroom
val_135.JPEG,n04328186,stopwatch
val_136.JPEG,n04067472,reel
val_137.JPEG,n03970156,plunger
val_138.JPEG,n02364673,guinea_pig
val_139.JPEG,n01784675,centipede
val_140.JPEG,n04532670,viaduct
val_141.JPEG,n01944390,snail
val_142.JPEG,n02950826,cannon
val_143.JPEG,n04562935,water_tower
val_144.JPEG,n02085620,Chihuahua
val_145.JPEG,n04008634,projectile
val_146.JPEG,n07615774,ice_lolly
val_147.JPEG,n03837869,obelisk
val_148.JPEG,n04371430,swimming_trunks
val_149.JPEG,n02123045,tabby
val_150.JPEG,n03042490,cliff_dwelling
